Título,Autores,Ano,Link
Uma abordagem para a previsão de desempenho de alunos de Computação em disciplinas de programação,"['TA Pascoal', 'DM Brito', 'TG Rêgo']",2015,https://www.researchgate.net/profile/Tulio-Pascoal/publication/316648085_Uma_abordagem_para_a_previsao_de_desempenho_de_alunos_de_Computacao_em_disciplinas_de_programacao/links/5909c2c0a6fdcc49616b8c53/Uma-abordagem-para-a-previsao-de-desempenho-de-alunos-de-Computacao-em-disciplinas-de-programacao.pdf
19TH BRAZILIAN LOGIC CONFERENCE BOOK OF ABSTRACTS,['XIXEB DE LÓGICA'],NA,https://www.academia.edu/download/114096459/459195885.pdf
Aprendizado de máquina (machine learning) em cuidados intensivos: análise cientométrica,['CRB Lima'],2021,http://www.repositorio-bc.unirio.br:8080/xmlui/bitstream/handle/unirio/13578/Clenya%20-%20Tese%20-%20Final%20FINAL%20ENTREGUE.pdf?sequence=1
O futuro da ciência e tecnologia com as máquinas inteligentes,"['JF Rodrigues Junior', 'MCF Oliveira']",2021,https://repositorio.usp.br/directbitstream/e83d910f-045c-4826-816f-2d096ca123ad/3041928.pdf
Modelo de predição de evasão escolar com base em dados de autoavaliação de cursos de graduação,['RS Oliveira'],2023,https://repositorio.ifpb.edu.br/handle/177683/3206
Prediçao de desempenho em um ambiente virtual de aprendizagem utilizando algoritmos baseados em árvores de decisao e em regras.,['IN Santos'],2017,https://repositorio.ufpb.br/jspui/handle/123456789/15533
Inteligência artificial utilizada na identificação de espécies e prognóstico visual de mudas florestais,['MC Leme'],2021,https://repositorio.unesp.br/items/cc42a695-7aa7-438e-9289-e3512ca03527
A Inteligência Artificial no Contexto da Ciência da Informação: Uma análise de domínio,['RJ da Silva'],2021,https://search.proquest.com/openview/288b5f2f4a65dc653e5ea169cc474589/1?pq-origsite=gscholar&cbl=2026366&diss=y
Aplicação de modelos de deep learning para qualificação da área da engenharia biomédica: um estudo de caso de visão computacional em imagens de raio-x da …,['GC Vaz'],2023,https://repositorio.unicamp.br/Busca/Download?codigoArquivo=554725
"Anais do V Congresso Sertanejo de Computação Explorando Fronteiras: Tendências, Desafios e Inovações na Integração da Inteligência Artificial e …","['AB da Costa', 'AC de Albuquerque Junior']",2024,https://books.google.com/books?hl=en&lr=&id=PGgUEQAAQBAJ&oi=fnd&pg=PA8&dq=Centro+de+Inform%C3%A1tica+UFPB+OR+%27Center+for+Informatics+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+UFPB%27+OR+%27Computer+Science+UFPB%27+OR++%27Intelig%C3%AAncia+Artificial+e+Ci%C3%AAncia+de+Dados%27+OR+%27Artificial+Intelligence+UFPB%27+OR+%27Aprendizado+de+M%C3%A1quina+UFPB%27+OR+%27Machine+Learning+UFPB%27+OR+%27Ci%C3%AAncia+de+Dados+UFPB%27+OR+%27Data+Science+UFPB%27+OR+%27Vis%C3%A3o+Computacional+UFPB%27+OR+%27Computer+Vision+UFPB%27+OR+%27Processamento+de+Linguagem+Natural+UFPB%27+OR+%27Natural+Language+Processing+UFPB%27+OR++%27Engenharia+de+Software+e+Sistemas%27+OR+%27Software+Engineering+UFPB%27+OR+%27Desenvolvimento+de+Software+UFPB%27+OR+%27Software+Development+UFPB%27+OR+%27Arquitetura+de+Software+UFPB%27+OR+%27Software+Architecture+UFPB%27+OR+%27Sistemas+Distribu%C3%ADdos+UFPB%27+OR+%27Distributed+Systems+UFPB%27+OR++%27Redes+e+Seguran%C3%A7a+da+Informa%C3%A7%C3%A3o%27+OR+%27Information+Security+UFPB%27+OR+%27Criptografia+UFPB%27+OR+%27Cryptography+UFPB%27+OR+%27Redes+de+Computadores+UFPB%27+OR+%27Computer+Networks+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+em+Nuvem+UFPB%27+OR+%27Cloud+Computing+UFPB%27+OR++%27Computa%C3%A7%C3%A3o+Gr%C3%A1fica+e+Intera%C3%A7%C3%A3o+Humano-Computador%27+OR+%27Computer+Graphics+UFPB%27+OR+%27Intera%C3%A7%C3%A3o+Humano-Computador+UFPB%27+OR+%27Human-Computer+Interaction+UFPB%27+OR+%27Realidade+Virtual+UFPB%27+OR+%27Virtual+Reality+UFPB%27+OR+%27Realidade+Aumentada+UFPB%27+OR+%27Augmented+Reality+UFPB%27+OR++%27Outras+%C3%A1reas%27+OR+%27Computa%C3%A7%C3%A3o+Qu%C3%A2ntica+UFPB%27+OR+%27Quantum+Computing+UFPB%27+OR+%27Otimiza%C3%A7%C3%A3o+UFPB%27+OR+%27Optimization+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+Paralela+UFPB%27+OR+%27Parallel+Computing+UFPB%27&ots=cIxpuOGuAK&sig=ubKLPenqcKGb6FibwIjuuZdOHII
19th Brazilian Logic Conference: Book of Abstracts,"['CA Mortari', 'R Silvestre']",2019,https://philpapers.org/rec/SILTBL-2
Predição de Evasão por meio de um Instrumento Sistemático de Avaliação Institucional,"['R dos Santos Oliveira', 'FPA de Medeiros']",2023,https://sol.sbc.org.br/index.php/wapla/article/view/26135
Modelo de dados para treinamento de inteligência artificial na pesquisa em saúde: um estudo prático sobre infecções hospitalares,['TA Vaz'],2017,https://lume.ufrgs.br/handle/10183/181275
Análise de desempenho de Yolov3 quanto a variação de fatores da cena em imagens para detecção de personagens em vídeo,['TPS Galindo'],2018,https://repositorio.ufpb.br/jspui/handle/123456789/16073
Indexação automática de imagens na web: tendências e desafios no contexto Deep Learning,"['LS Gracioso', 'AC Simionato']",2018,https://estudogeral.uc.pt/handle/10316/81300
O mundo dado: cinco breves lições de filosofia digital,['C Accoto'],2021,https://books.google.com/books?hl=en&lr=&id=mR85EAAAQBAJ&oi=fnd&pg=PA1933&dq=Centro+de+Inform%C3%A1tica+UFPB+OR+%27Center+for+Informatics+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+UFPB%27+OR+%27Computer+Science+UFPB%27+OR++%27Intelig%C3%AAncia+Artificial+e+Ci%C3%AAncia+de+Dados%27+OR+%27Artificial+Intelligence+UFPB%27+OR+%27Aprendizado+de+M%C3%A1quina+UFPB%27+OR+%27Machine+Learning+UFPB%27+OR+%27Ci%C3%AAncia+de+Dados+UFPB%27+OR+%27Data+Science+UFPB%27+OR+%27Vis%C3%A3o+Computacional+UFPB%27+OR+%27Computer+Vision+UFPB%27+OR+%27Processamento+de+Linguagem+Natural+UFPB%27+OR+%27Natural+Language+Processing+UFPB%27+OR++%27Engenharia+de+Software+e+Sistemas%27+OR+%27Software+Engineering+UFPB%27+OR+%27Desenvolvimento+de+Software+UFPB%27+OR+%27Software+Development+UFPB%27+OR+%27Arquitetura+de+Software+UFPB%27+OR+%27Software+Architecture+UFPB%27+OR+%27Sistemas+Distribu%C3%ADdos+UFPB%27+OR+%27Distributed+Systems+UFPB%27+OR++%27Redes+e+Seguran%C3%A7a+da+Informa%C3%A7%C3%A3o%27+OR+%27Information+Security+UFPB%27+OR+%27Criptografia+UFPB%27+OR+%27Cryptography+UFPB%27+OR+%27Redes+de+Computadores+UFPB%27+OR+%27Computer+Networks+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+em+Nuvem+UFPB%27+OR+%27Cloud+Computing+UFPB%27+OR++%27Computa%C3%A7%C3%A3o+Gr%C3%A1fica+e+Intera%C3%A7%C3%A3o+Humano-Computador%27+OR+%27Computer+Graphics+UFPB%27+OR+%27Intera%C3%A7%C3%A3o+Humano-Computador+UFPB%27+OR+%27Human-Computer+Interaction+UFPB%27+OR+%27Realidade+Virtual+UFPB%27+OR+%27Virtual+Reality+UFPB%27+OR+%27Realidade+Aumentada+UFPB%27+OR+%27Augmented+Reality+UFPB%27+OR++%27Outras+%C3%A1reas%27+OR+%27Computa%C3%A7%C3%A3o+Qu%C3%A2ntica+UFPB%27+OR+%27Quantum+Computing+UFPB%27+OR+%27Otimiza%C3%A7%C3%A3o+UFPB%27+OR+%27Optimization+UFPB%27+OR+%27Computa%C3%A7%C3%A3o+Paralela+UFPB%27+OR+%27Parallel+Computing+UFPB%27&ots=PLB-G1TxDR&sig=rKr7F3FCHf41ZlwL8ms447kzUWE
Reportagem audiovisual: robôs substituirão professores?,['GCA Santana'],2023,https://repositorio.ufpb.br/jspui/handle/123456789/29427
